n,instance,bks,runs,avg_result,avg_rpd_pct,std_dev,cv_pct
50,50.10.1,1893.3764241835136,10,1893.3764241835136,0.0,0.0,0.0
50,50.10.2,1551.8213832018114,10,1544.6427781911707,-0.4625922215241914,1.8485568915872561,0.11967536557235448
50,50.10.3,1512.4058810954446,10,1512.147814803671,-0.017063295970958778,1.1319330161055818,0.07485597671233918
50,50.10.4,1455.8578212932475,10,1455.8578212932475,0.0,0.0,0.0
50,50.20.1,4182.09111960489,10,4183.286856132635,0.028591833452396263,3.781250909135818,0.09038947218244338
50,50.20.2,4239.8820130716895,10,4239.8820130716895,0.0,0.0,0.0
50,50.20.3,4711.898720148452,10,4688.982198941838,-0.4863542823749946,39.856582393616584,0.8500049840797225
50,50.20.4,4531.5985742643925,10,4567.389058945283,0.7897982156705131,97.9025386450872,2.143512133115614
50,50.30.1,8873.783828187867,10,8873.783828187865,-2.049846422636279e-14,0.0,0.0
50,50.30.2,8019.961154560939,10,8019.961154560939,0.0,0.0,0.0
50,50.30.3,8908.103012671027,10,8908.103012671027,0.0,0.0,0.0
50,50.30.4,8811.661300005724,10,8811.661300005724,0.0,0.0,0.0
50,50.40.1,14408.673370992698,10,14385.853917409979,-0.15837303681724457,14.831232354037795,0.10309594716576966
50,50.40.2,14334.608383894823,10,14427.837964061953,0.6503810754388997,59.51406760534918,0.41249470470621946
50,50.40.3,12527.925293145607,10,12485.294299712286,-0.3402877366825055,14.931196309520562,0.1195902631615551
50,50.40.4,12992.72316097867,10,12992.723160978669,-1.4000062812150627e-14,0.0,0.0
