n,instance,runs,avg_result,bks,avg_rpd_pct,std_dev,cv_pct
50,50.10.1,10,1893.3764241835136,1893.3764241835136,0.0,0.0,0.0
50,50.10.2,10,1544.5663833343774,1551.8213832018114,-0.4675151371135915,1.8730278633204054,0.12126561108218296
50,50.10.3,10,1512.147814803671,1512.4058810954446,-0.017063295970958778,1.1319330161055818,0.07485597671233918
50,50.10.4,10,1455.8578212932475,1455.8578212932475,0.0,0.0,0.0
50,50.20.1,10,4182.09111960489,4182.09111960489,0.0,0.0,0.0
50,50.20.2,10,4239.8820130716895,4239.8820130716895,0.0,0.0,0.0
50,50.20.3,10,4688.982198941838,4711.898720148452,-0.4863542823749946,39.856582393616584,0.8500049840797225
50,50.20.4,10,4567.389058945283,4531.5985742643925,0.7897982156705131,97.9025386450872,2.143512133115614
50,50.30.1,10,8873.783828187865,8873.783828187867,-2.049846422636279e-14,0.0,0.0
50,50.30.2,10,8019.961154560939,8019.961154560939,0.0,0.0,0.0
50,50.30.3,10,8908.103012671027,8908.103012671027,0.0,0.0,0.0
50,50.30.4,10,8811.661300005724,8811.661300005724,0.0,0.0,0.0
50,50.40.1,10,14384.009014874298,14408.673370992698,-0.17117714784244487,15.690708313306342,0.10908438876172008
50,50.40.2,10,14420.128677106924,14334.608383894823,0.5966001366886627,54.869330216336586,0.3805051358761168
50,50.40.3,10,12508.670104133067,12527.925293145607,-0.15369814683581093,87.80886469577653,0.7019840156050087
50,50.40.4,10,12992.723160978669,12992.72316097867,-1.4000062812150627e-14,0.0,0.0
