n,instance,push_strategy,run,total_elite_pushes,accepted_elite_pushes,total_evaluations,push_rate_per_million_evals,accept_pct
200,200.10.2,new-best,1,4212,3482,1164010035,3.61852550523759,82.66856600189934
200,200.10.2,new-best,2,4374,3601,1164012488,3.7576916442841464,82.32738911751257
200,200.10.2,new-best,3,4352,3581,1164012055,3.7387928942024575,82.28400735294117
200,200.10.2,segment-best,1,41,39,1164010035,0.03522306403483884,95.1219512195122
200,200.10.2,segment-best,2,45,45,1164012488,0.03865937905642126,100.0
200,200.10.2,segment-best,3,41,39,1164012055,0.03522300290953602,95.1219512195122
200,200.10.2,significant-best,1,2305,1913,1164010035,1.9802234780561836,82.99349240780911
200,200.10.2,significant-best,2,2403,1993,1164012488,2.064410841612895,82.93799417394922
200,200.10.2,significant-best,3,2299,1917,1164012055,1.9750654558298366,83.38408003479773
200,200.40.1,new-best,1,4943,4062,1164019268,4.246493280556246,82.17681569896824
200,200.40.1,new-best,2,5286,4327,1164017299,4.541169623974806,81.85773741959895
200,200.40.1,new-best,3,5266,4186,1164015393,4.5239951564798595,79.49107481959742
200,200.40.1,segment-best,1,32,30,1164019268,0.027490953869674258,93.75
200,200.40.1,segment-best,2,33,33,1164017299,0.028350094133781426,100.0
200,200.40.1,segment-best,3,42,41,1164015393,0.03608199707029132,97.61904761904762
200,200.40.1,significant-best,1,2397,1975,1164019268,2.0592442633002874,82.39465999165624
200,200.40.1,significant-best,2,2413,1960,1164017299,2.072993246812563,81.22668876916701
200,200.40.1,significant-best,3,2471,1991,1164015393,2.122824160968806,80.57466612707405
500,500.10.2,new-best,1,8754,8754,16548109306,0.5290030321969158,100.0
500,500.10.2,new-best,2,8444,8444,16548084124,0.5102705507614327,100.0
500,500.10.2,new-best,3,9131,9131,16548081981,0.5517860021774085,100.0
500,500.10.2,segment-best,1,83,83,16548109306,0.005015678737987664,100.0
500,500.10.2,segment-best,2,74,74,16548084124,0.004471816764133825,100.0
500,500.10.2,segment-best,3,65,65,16548081981,0.003927947666359823,100.0
500,500.10.2,significant-best,1,2214,2214,16548109306,0.1337917195892131,100.0
500,500.10.2,significant-best,2,2254,2254,16548084124,0.13620912143726543,100.0
500,500.10.2,significant-best,3,2323,2323,16548081981,0.1403788065992903,100.0
500,500.40.1,new-best,1,20508,20508,16548140122,1.2392933495127678,100.0
500,500.40.1,new-best,2,20486,20486,16548175651,1.237961237060113,100.0
500,500.40.1,new-best,3,20837,20837,16548111837,1.259176890103586,100.0
500,500.40.1,segment-best,1,54,54,16548140122,0.0032632065961424547,100.0
500,500.40.1,segment-best,2,63,63,16548175651,0.0038070661883621553,100.0
500,500.40.1,segment-best,3,65,65,16548111837,0.003927940579581182,100.0
500,500.40.1,significant-best,1,4109,4109,16548140122,0.2483058500657286,100.0
500,500.40.1,significant-best,2,4274,4274,16548175651,0.2582762045882516,100.0
500,500.40.1,significant-best,3,4243,4242,16548111837,0.25640387506404544,99.97643176997407
